Provincia,Riesgo_Climatologico
Alava,30
Albacete,40
Alicante,80
Almeria,55
Avila,35
Badajoz,45
Baleares,85
Barcelona,60
Burgos,38
Caceres,50
Cadiz,90
Castellon,70
Ciudad Real,47
Cordoba,52
Coruna,66
Cuenca,37
Gerona,58
Granada,62
Guadalajara,42
Guipuzcoa,49
Huelva,65
Huesca,36
Jaen,55
Leon,43
Lerida,50
Lugo,63
Madrid,46
Malaga,88
Murcia,85
Navarra,41
Orense,39
Asturias,53
Palencia,33
Las Palmas,90
Pontevedra,60
Salamanca,44
Santa Cruz de Tenerife,89
Cantabria,57
Segovia,30
Sevilla,50
Soria,32
Tarragona,64
Teruel,31
Toledo,40
Valencia,80
Valladolid,48
Vizcaya,51
Zamora,28
Zaragoza,39
Ceuta,75
Melilla,77
